주문시간,주문ID,매장코드,상호지점명,태블릿 번호,주문키,주문 유형,장바구니,주문 장바구니 전체 금액,마지막 포스 응답 시간,에러메시지,ip,최종 포스 연동 여부,밴사,포스 응답 소요 시간
2026-04-21 20:33:48,ORDER-130508,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-581223,후결제,"[어묵(중간맛)//(우동면X) (A0020) (1개) (10000원)], [깡토마토 (A0034) (1개) (6500원)], [우동(중간맛) (A0018) (2개) (9000원)]",34500,2026-04-21 20:33:48,,IP-020538,성공,,0
2026-04-21 20:34:02,ORDER-130508,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-377522,후결제,[새로 (00256) (1개) (5000원)],5000,2026-04-21 20:34:03,,IP-020538,성공,,1
2026-04-21 20:34:34,ORDER-130508,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-446690,후결제,[새로 (00256) (1개) (5000원)],5000,2026-04-21 20:34:35,,IP-020538,성공,,1
2026-04-21 20:40:37,ORDER-327943,STORE-459717,코덱스커뮤니티(최고점),TABLET-684884,KEY-081193,후결제,[깡토마토 (A0034) (1개) (6500원)],6500,2026-04-21 20:40:37,,IP-020538,성공,,0
2026-04-21 20:55:16,ORDER-332777,STORE-459717,코덱스커뮤니티(최고점),TABLET-684259,KEY-681089,후결제,"[새로 (00256) (1개) (5000원)], [파인샤베트 (A0039) (1개) (8500원)], [우동(중간맛) (A0018) (1개) (9000원)]",22500,2026-04-21 20:55:17,,IP-020538,성공,,1
2026-04-21 20:59:32,ORDER-010916,STORE-459717,코덱스커뮤니티(최고점),TABLET-845735,KEY-082796,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [깡토마토 (A0034) (1개) (6500원)], [우동(매운맛) (A0023) (1개) (9000원)]",20500,2026-04-21 20:59:32,,IP-020538,성공,,0
2026-04-21 21:00:04,ORDER-327943,STORE-459717,코덱스커뮤니티(최고점),TABLET-684884,KEY-602485,후결제,[새로 (00256) (1개) (5000원)],5000,2026-04-21 21:00:04,,IP-020538,성공,,0
2026-04-21 21:15:34,ORDER-332777,STORE-459717,코덱스커뮤니티(최고점),TABLET-684259,KEY-958397,후결제,[새로 (00256) (1개) (5000원)],5000,2026-04-21 21:15:34,,IP-020538,성공,,0
2026-04-21 23:45:51,ORDER-504169,STORE-459717,코덱스커뮤니티(최고점),TABLET-684259,KEY-180236,후결제,"[환타파인(캔) (00239) (1개) (2000원)], [처음처럼 (00230) (1개) (5000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)], [어묵우동(순한맛) (A0014) (1개) (10000원)]",27000,2026-04-21 23:45:51,,IP-020538,성공,,0
2026-04-22 00:41:52,ORDER-105251,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-761428,후결제,"[김치만두 (A0036) (1개) (8000원)], [새로 (00256) (1개) (5000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)]",23000,2026-04-22 00:41:53,,IP-020538,성공,,1
2026-04-22 01:09:07,ORDER-999886,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-077178,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [튀김만두 (A0037) (1개) (8500원)], [어묵우동(매운맛) (A0024) (1개) (10000원)]",23500,2026-04-22 01:09:08,,IP-020538,성공,,1
2026-04-22 01:14:12,ORDER-422921,STORE-459717,코덱스커뮤니티(최고점),TABLET-331532,KEY-947782,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [고기만두 (A0035) (1개) (8000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)]",23000,2026-04-22 01:14:12,,IP-020538,성공,,0
2026-04-22 01:26:37,ORDER-105251,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-150870,후결제,[깡풍강정 (A0062) (1개) (16000원)],16000,2026-04-22 01:26:38,,IP-020538,성공,,1
2026-04-22 01:28:31,ORDER-999886,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-860365,후결제,[탕수육 (A0030) (1개) (17000원)],17000,2026-04-22 01:28:32,,IP-020538,성공,,1
2026-04-22 01:40:55,ORDER-999886,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-259476,후결제,[참이슬후레쉬 (00228) (1개) (5000원)],5000,2026-04-22 01:40:55,,IP-020538,성공,,0
2026-04-22 02:04:16,ORDER-759492,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-659680,후결제,"[환타파인(캔) (00239) (1개) (2000원)], [깡강정 (A0032) (1개) (16000원)], [우동(중간맛) (A0018) (1개) (9000원)]",27000,2026-04-22 02:04:16,,IP-020538,성공,,0
2026-04-22 02:11:13,ORDER-410427,STORE-459717,코덱스커뮤니티(최고점),TABLET-845735,KEY-620901,후결제,"[테라 (00237) (1개) (5000원)], [참이슬후레쉬 (00228) (1개) (5000원)], [어묵우동곱빼기(중간맛) (A0046) (1개) (11000원)], [탕수육 (A0030) (1개) (17000원)]",38000,2026-04-22 02:11:14,,IP-020538,성공,,1
2026-04-22 02:43:28,ORDER-410427,STORE-459717,코덱스커뮤니티(최고점),TABLET-845735,KEY-242164,후결제,[깡새우 (A0033) (1개) (6500원)],6500,2026-04-22 02:43:28,,IP-020538,성공,,0
2026-04-22 20:17:21,ORDER-972637,STORE-459717,코덱스커뮤니티(최고점),TABLET-684259,KEY-390180,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [우동(매운맛) (A0023) (1개) (9000원)], [탕수육 (A0030) (1개) (17000원)]",31000,2026-04-22 20:17:21,,IP-020538,성공,,0
2026-04-22 20:34:47,ORDER-989790,STORE-459717,코덱스커뮤니티(최고점),TABLET-494852,KEY-373404,후결제,"[처음처럼 (00230) (1개) (5000원)], [우동(중간맛) (A0018) (1개) (9000원)]",14000,2026-04-22 20:34:47,,IP-020538,성공,,0
2026-04-22 20:49:05,ORDER-989790,STORE-459717,코덱스커뮤니티(최고점),TABLET-494852,KEY-647160,후결제,"[처음처럼 (00230) (1개) (5000원)], [탕수육 (A0030) (1개) (17000원)]",22000,2026-04-22 20:49:05,,IP-020538,성공,,0
2026-04-22 22:15:00,ORDER-375056,STORE-459717,코덱스커뮤니티(최고점),TABLET-698701,KEY-169250,후결제,"[고기만두 (A0035) (1개) (8000원)], [새로 (00256) (1개) (5000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)], [우동(중간맛) (A0018) (1개) (9000원)]",32000,2026-04-22 22:15:00,,IP-020538,성공,,0
2026-04-22 22:29:12,ORDER-684199,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-708545,후결제,"[새로 (00256) (1개) (5000원)], [우동곱빼기(순한맛) (A0040) (1개) (10000원)]",15000,2026-04-22 22:29:12,,IP-020538,성공,,0
2026-04-22 23:01:38,ORDER-099932,STORE-459717,코덱스커뮤니티(최고점),TABLET-602663,KEY-965704,후결제,"[깡강정 (A0032) (1개) (16000원)], [우동곱빼기(중간맛) (A0045) (1개) (10000원)], [새로 (00256) (1개) (5000원)]",31000,2026-04-22 23:01:38,,IP-020538,성공,,0
2026-04-22 23:10:21,ORDER-381251,STORE-459717,코덱스커뮤니티(최고점),TABLET-352483,KEY-358701,후결제,"[환타파인(캔) (00239) (1개) (2000원)], [새로 (00256) (1개) (5000원)], [어묵탕(매운맛) (A0026) (1개) (22000원)]",29000,2026-04-22 23:10:21,,IP-020538,성공,,0
2026-04-22 23:23:03,ORDER-397323,STORE-459717,코덱스커뮤니티(최고점),TABLET-845735,KEY-438883,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [탕수육 (A0030) (1개) (17000원)], [어묵우동(순한맛) (A0014) (1개) (10000원)]",32000,2026-04-22 23:23:03,,IP-020538,성공,,0
2026-04-22 23:41:24,ORDER-026535,STORE-459717,코덱스커뮤니티(최고점),TABLET-494852,KEY-116323,후결제,"[새로살구 (00343) (1개) (5000원)], [환타파인(캔) (00239) (1개) (2000원)], [우동(중간맛) (A0018) (1개) (9000원)]",16000,2026-04-22 23:41:25,,IP-020538,성공,,1
2026-04-22 23:44:46,ORDER-381251,STORE-459717,코덱스커뮤니티(최고점),TABLET-352483,KEY-977518,후결제,[새로 (00256) (1개) (5000원)],5000,2026-04-22 23:44:46,,IP-020538,성공,,0
2026-04-22 23:48:50,ORDER-747194,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-620634,후결제,"[새로 (00256) (1개) (5000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)]",15000,2026-04-22 23:48:50,,IP-020538,성공,,0
2026-04-22 23:49:55,ORDER-099932,STORE-459717,코덱스커뮤니티(최고점),TABLET-602663,KEY-559211,후결제,[새로 (00256) (1개) (5000원)],5000,2026-04-22 23:49:55,,IP-020538,성공,,0
2026-04-23 00:08:56,ORDER-747194,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-432094,후결제,[새로 (00256) (1개) (5000원)],5000,2026-04-23 00:08:56,,IP-020538,성공,,0
2026-04-23 00:10:33,ORDER-099932,STORE-459717,코덱스커뮤니티(최고점),TABLET-602663,KEY-215951,후결제,[새로 (00256) (1개) (5000원)],5000,2026-04-23 00:10:33,,IP-020538,성공,,0
2026-04-23 02:18:14,ORDER-747194,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-378677,후결제,[깡토마토 (A0034) (1개) (6500원)],6500,2026-04-23 02:18:14,,IP-020538,성공,,0
2026-04-23 03:11:42,ORDER-619860,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-101236,후결제,"[처음처럼 (00230) (1개) (5000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)]",15000,2026-04-23 03:11:42,,IP-020538,성공,,0
2026-04-23 04:03:30,ORDER-662988,STORE-459717,코덱스커뮤니티(최고점),TABLET-698701,KEY-247291,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [탕수육 (A0030) (1개) (17000원)], [우동(매운맛) (A0023) (1개) (9000원)]",31000,2026-04-23 04:03:31,,IP-020538,성공,,1
2026-04-23 04:23:44,ORDER-619860,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-985925,후결제,[처음처럼 (00230) (1개) (5000원)],5000,2026-04-23 04:23:45,,IP-020538,성공,,1
2026-04-23 16:20:32,ORDER-760733,STORE-459717,코덱스커뮤니티(최고점),TABLET-773051,KEY-458509,후결제,"[진로이즈백 (00231) (1개) (5000원)], [우동(순한맛) (A0013) (1개) (9000원)]",14000,2026-04-23 16:20:32,,IP-020538,성공,,0
2026-04-23 19:09:46,ORDER-317663,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-715599,후결제,[우동(중간맛) (A0018) (2개) (9000원)],18000,2026-04-23 19:09:46,,IP-020538,성공,,0
2026-04-23 19:10:28,ORDER-317663,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-139670,후결제,"[테라 (00237) (1개) (5000원)], [참이슬후레쉬 (00228) (1개) (5000원)]",10000,2026-04-23 19:10:29,,IP-020538,성공,,1
2026-04-23 19:47:25,ORDER-317663,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-620115,후결제,[고기만두 (A0035) (1개) (8000원)],8000,2026-04-23 19:47:25,,IP-020538,성공,,0
2026-04-23 20:24:50,ORDER-502988,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-586065,후결제,"[청하 (00233) (1개) (6000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)]",16000,2026-04-23 20:24:51,,IP-020538,성공,,1
2026-04-23 20:35:04,ORDER-762933,STORE-459717,코덱스커뮤니티(최고점),TABLET-773051,KEY-923866,후결제,"[새로 (00256) (1개) (5000원)], [깡면닭발 (A0063) (1개) (22900원)], [파인샤베트 (A0039) (1개) (8500원)], [어묵우동(순한맛) (A0014) (1개) (10000원)]",46400,2026-04-23 20:35:04,,IP-020538,성공,,0
2026-04-23 20:52:42,ORDER-502988,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-868970,후결제,[청하 (00233) (1개) (6000원)],6000,2026-04-23 20:52:42,,IP-020538,성공,,0
2026-04-23 21:00:13,ORDER-317663,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-054921,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [튀김만두 (A0037) (1개) (8500원)]",13500,2026-04-23 21:00:14,,IP-020538,성공,,1
2026-04-23 21:08:32,ORDER-215342,STORE-459717,코덱스커뮤니티(최고점),TABLET-684259,KEY-204269,후결제,"[테라 (00237) (1개) (5000원)], [참이슬후레쉬 (00228) (1개) (5000원)], [우동(중간맛) (A0018) (2개) (9000원)], [탕수육 (A0030) (1개) (17000원)], [파인샤베트 (A0039) (2개) (8500원)]",62000,2026-04-23 21:08:33,,IP-020538,성공,,1
2026-04-23 21:14:23,ORDER-707445,STORE-459717,코덱스커뮤니티(최고점),TABLET-602663,KEY-291029,후결제,"[새로 (00256) (1개) (5000원)], [깡탕세트 (A0031) (1개) (19000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)]",34000,2026-04-23 21:14:23,,IP-020538,성공,,0
2026-04-23 21:33:34,ORDER-613748,STORE-459717,코덱스커뮤니티(최고점),TABLET-684884,KEY-892369,후결제,"[탕수육 (A0030) (1개) (17000원)], [참이슬후레쉬 (00228) (1개) (5000원)], [우동(매운맛) (A0023) (1개) (9000원)]",31000,2026-04-23 21:33:34,,IP-020538,성공,,0
2026-04-23 21:56:43,ORDER-215342,STORE-459717,코덱스커뮤니티(최고점),TABLET-684259,KEY-425688,후결제,[깡토마토 (A0034) (1개) (6500원)],6500,2026-04-23 21:56:43,,IP-020538,성공,,0
2026-04-23 22:08:25,ORDER-669907,STORE-459717,코덱스커뮤니티(최고점),TABLET-845735,KEY-088357,후결제,"[펩시 캔 355ml (00234) (1개) (2000원)], [참이슬후레쉬 (00228) (1개) (5000원)], [어묵우동(매운맛) (A0024) (1개) (10000원)]",17000,2026-04-23 22:08:26,,IP-020538,성공,,1
2026-04-23 22:28:12,ORDER-054263,STORE-459717,코덱스커뮤니티(최고점),TABLET-684884,KEY-521453,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [탕수육 (A0030) (1개) (17000원)], [어묵우동곱빼기(매운맛) (A0051) (1개) (11000원)]",33000,2026-04-23 22:28:12,,IP-020538,성공,,0
2026-04-23 22:52:53,ORDER-054263,STORE-459717,코덱스커뮤니티(최고점),TABLET-684884,KEY-194825,후결제,"[김치만두 (A0036) (1개) (8000원)], [참이슬후레쉬 (00228) (1개) (5000원)]",13000,2026-04-23 22:52:54,,IP-020538,성공,,1
2026-04-23 23:29:44,ORDER-669907,STORE-459717,코덱스커뮤니티(최고점),TABLET-845735,KEY-360016,후결제,[참이슬후레쉬 (00228) (1개) (5000원)],5000,2026-04-23 23:29:44,,IP-020538,성공,,0
2026-04-23 23:30:16,ORDER-888783,STORE-459717,코덱스커뮤니티(최고점),TABLET-105430,KEY-782173,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)]",15000,2026-04-23 23:30:16,,IP-020538,성공,,0
2026-04-23 23:36:08,ORDER-568298,STORE-459717,코덱스커뮤니티(최고점),TABLET-516459,KEY-807198,후결제,"[환타파인(캔) (00239) (1개) (2000원)], [청하 (00233) (1개) (6000원)], [탕수육 (A0030) (1개) (17000원)], [어묵우동(중간맛) (A0019) (1개) (10000원)]",35000,2026-04-23 23:36:08,,IP-020538,성공,,0
2026-04-23 23:37:52,ORDER-724165,STORE-459717,코덱스커뮤니티(최고점),TABLET-352483,KEY-492228,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [튀김만두 (A0037) (1개) (8500원)], [어묵우동(매운맛) (A0024) (1개) (10000원)]",23500,2026-04-23 23:37:53,,IP-020538,성공,,1
2026-04-23 23:41:04,ORDER-724165,STORE-459717,코덱스커뮤니티(최고점),TABLET-352483,KEY-196061,후결제,[칠성사이다 캔 355ml (00235) (1개) (2000원)],2000,2026-04-23 23:41:05,,IP-020538,성공,,1
2026-04-23 23:51:35,ORDER-054263,STORE-459717,코덱스커뮤니티(최고점),TABLET-684884,KEY-594733,후결제,[참이슬후레쉬 (00228) (1개) (5000원)],5000,2026-04-23 23:51:35,,IP-020538,성공,,0
2026-04-24 00:13:29,ORDER-669907,STORE-459717,코덱스커뮤니티(최고점),TABLET-845735,KEY-776051,후결제,[튀김마라만두 (A0038) (1개) (9000원)],9000,2026-04-24 00:13:30,,IP-020538,성공,,1
2026-04-24 00:24:45,ORDER-724165,STORE-459717,코덱스커뮤니티(최고점),TABLET-352483,KEY-721493,후결제,[참이슬후레쉬 (00228) (1개) (5000원)],5000,2026-04-24 00:24:45,,IP-020538,성공,,0
2026-04-24 00:26:02,ORDER-281214,STORE-459717,코덱스커뮤니티(최고점),TABLET-773051,KEY-174414,후결제,"[탕수육 (A0030) (1개) (17000원)], [어묵우동(순한맛) (A0014) (1개) (10000원)]",27000,2026-04-24 00:26:03,,IP-020538,성공,,1
2026-04-24 00:26:23,ORDER-669907,STORE-459717,코덱스커뮤니티(최고점),TABLET-845735,KEY-986280,후결제,[펩시 캔 355ml (00234) (1개) (2000원)],2000,2026-04-24 00:26:24,,IP-020538,성공,,1
2026-04-24 00:30:20,ORDER-720602,STORE-459717,코덱스커뮤니티(최고점),TABLET-145919,KEY-339462,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [깡새우 (A0033) (1개) (6500원)], [어묵우동(중간맛) (A0019) (1개) (10000원)]",21500,2026-04-24 00:30:21,,IP-020538,성공,,1
2026-04-24 00:30:57,ORDER-724165,STORE-459717,코덱스커뮤니티(최고점),TABLET-352483,KEY-768836,후결제,[펩시 캔 355ml (00234) (1개) (2000원)],2000,2026-04-24 00:30:57,,IP-020538,성공,,0
2026-04-24 01:08:32,ORDER-578107,STORE-459717,코덱스커뮤니티(최고점),TABLET-698701,KEY-484474,후결제,"[청하 (00233) (1개) (6000원)], [탕수육 (A0030) (1개) (17000원)], [우동곱빼기(중간맛) (A0045) (1개) (10000원)]",33000,2026-04-24 01:08:32,,IP-020538,성공,,0
2026-04-24 01:31:09,ORDER-925001,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-666726,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [탕수육 (A0030) (1개) (17000원)]",22000,2026-04-24 01:31:09,,IP-020538,성공,,0
2026-04-24 01:36:00,ORDER-537028,STORE-459717,코덱스커뮤니티(최고점),TABLET-352483,KEY-955574,후결제,"[펩시 캔 355ml (00234) (1개) (2000원)], [참이슬후레쉬 (00228) (1개) (5000원)]",7000,2026-04-24 01:36:01,,IP-020538,성공,,1
2026-04-24 01:36:08,ORDER-221026,STORE-459717,코덱스커뮤니티(최고점),TABLET-494852,KEY-775414,후결제,"[환타파인(캔) (00239) (1개) (2000원)], [청하 (00233) (1개) (6000원)], [우동(중간맛) (A0018) (1개) (9000원)]",17000,2026-04-24 01:36:08,,IP-020538,성공,,0
2026-04-24 01:52:58,ORDER-143902,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-754536,후결제,"[펩시 캔 355ml (00234) (1개) (2000원)], [참이슬후레쉬 (00228) (1개) (5000원)], [탕수육 (A0030) (1개) (17000원)]",24000,2026-04-24 01:52:59,,IP-020538,성공,,1
2026-04-24 01:53:50,ORDER-925001,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-265522,후결제,[참이슬후레쉬 (00228) (1개) (5000원)],5000,2026-04-24 01:53:50,,IP-020538,성공,,0
2026-04-24 02:36:02,ORDER-925001,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-218026,후결제,[참이슬후레쉬 (00228) (1개) (5000원)],5000,2026-04-24 02:36:02,,IP-020538,성공,,0
2026-04-24 02:58:40,ORDER-160801,STORE-459717,코덱스커뮤니티(최고점),TABLET-105430,KEY-152573,후결제,"[탕수육 (A0030) (1개) (17000원)], [환타파인(캔) (00239) (1개) (2000원)], [테라 (00237) (1개) (5000원)], [참이슬후레쉬 (00228) (2개) (5000원)], [어묵우동(중간맛) (A0019) (2개) (10000원)]",54000,2026-04-24 02:58:41,,IP-020538,성공,,1
2026-04-24 03:54:47,ORDER-356135,STORE-459717,코덱스커뮤니티(최고점),TABLET-698701,KEY-556417,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [어묵우동(순한맛) (A0014) (1개) (10000원)]",15000,2026-04-24 03:54:47,,IP-020538,성공,,0
2026-04-24 18:43:10,ORDER-180749,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-360814,후결제,"[새로 (00256) (1개) (5000원)], [튀김만두 (A0037) (1개) (8500원)], [우동(중간맛) (A0018) (1개) (9000원)]",22500,2026-04-24 18:43:11,,IP-020538,성공,,1
2026-04-24 19:56:43,ORDER-907740,STORE-459717,코덱스커뮤니티(최고점),TABLET-684884,KEY-293212,후결제,"[펩시 캔 355ml (00234) (1개) (2000원)], [참이슬후레쉬 (00228) (1개) (5000원)], [탕수육 (A0030) (1개) (17000원)], [우동(중간맛) (A0018) (1개) (9000원)]",33000,2026-04-24 01:56:43,,IP-020538,성공,,0
2026-04-24 20:02:24,ORDER-266664,STORE-459717,코덱스커뮤니티(최고점),TABLET-145919,KEY-900532,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [우동(중간맛) (A0018) (1개) (9000원)]",14000,2026-04-24 02:02:24,,IP-020538,성공,,0
2026-04-24 20:17:35,ORDER-266664,STORE-459717,코덱스커뮤니티(최고점),TABLET-145919,KEY-452688,후결제,[탕수육 (A0030) (1개) (17000원)],17000,2026-04-24 20:17:36,,IP-020538,성공,,1
2026-04-24 20:27:24,ORDER-402638,STORE-459717,코덱스커뮤니티(최고점),TABLET-684259,KEY-870589,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [우동곱빼기(중간맛) (A0045) (1개) (10000원)]",15000,2026-04-24 20:27:25,,IP-020538,성공,,1
2026-04-24 20:30:50,ORDER-330910,STORE-459717,코덱스커뮤니티(최고점),TABLET-773051,KEY-183251,후결제,[물 (00396) (1개) (0원)],0,2026-04-24 20:30:50,,IP-020538,성공,,0
2026-04-24 20:33:17,ORDER-226717,STORE-459717,코덱스커뮤니티(최고점),TABLET-775565,KEY-940382,후결제,"[펩시 캔 355ml (00234) (1개) (2000원)], [테라 (00237) (1개) (5000원)], [참이슬후레쉬 (00228) (1개) (5000원)], [탕수육 (A0030) (1개) (17000원)], [우동(중간맛) (A0018) (1개) (9000원)]",38000,2026-04-24 20:33:17,,IP-020538,성공,,0
2026-04-24 20:39:58,ORDER-876945,STORE-459717,코덱스커뮤니티(최고점),TABLET-996126,KEY-315821,후결제,"[참이슬후레쉬 (00228) (1개) (5000원)], [튀김만두 (A0037) (1개) (8500원)], [어묵우동(중간맛) (A0019) (1개) (10000원)]",23500,2026-04-24 20:39:58,,IP-020538,성공,,0
2026-04-24 20:43:32,ORDER-402638,STORE-459717,코덱스커뮤니티(최고점),TABLET-684259,KEY-268434,후결제,[참이슬후레쉬 (00228) (1개) (5000원)],5000,2026-04-24 02:43:32,,IP-020538,성공,,0
2026-04-24 21:15:59,ORDER-689634,STORE-459717,코덱스커뮤니티(최고점),TABLET-684259,KEY-525664,후결제,"[새로 (00256) (1개) (5000원)], [깡탕세트 (A0031) (1개) (19000원)], [어묵우동곱빼기(중간맛) (A0046) (1개) (11000원)]",35000,2026-04-24 21:15:59,,IP-020538,성공,,0
2026-04-24 21:21:08,ORDER-955561,STORE-459717,코덱스커뮤니티(최고점),TABLET-352483,KEY-941102,후결제,"[새로 (00256) (1개) (5000원)], [우동(중간맛) (A0018) (1개) (9000원)]",14000,2026-04-24 21:21:08,,IP-020538,성공,,0
2026-04-24 21:22:30,ORDER-501537,STORE-459717,코덱스커뮤니티(최고점),TABLET-845735,KEY-844021,후결제,"[칠성사이다 캔 355ml (00235) (1개) (2000원)], [생맥주 500cc (00417) (1개) (4500원)], [튀김만두 (A0037) (1개) (8500원)], [어묵우동(순한맛) (A0014) (1개) (10000원)]",25000,2026-04-24 21:22:31,,IP-020538,성공,,1
2026-04-24 21:35:51,ORDER-689634,STORE-459717,코덱스커뮤니티(최고점),TABLET-684259,KEY-077840,후결제,[새로 (00256) (2개) (5000원)],10000,2026-04-24 21:35:51,,IP-020538,성공,,0
